FAST, BRISK, 5, 171, 1.7523, 193.074
FAST, BRISK, 6, 163, 1.70195, 194.684
FAST, BRISK, 7, 170, 1.98611, 194.082
FAST, BRISK, 8, 163, 1.99016, 193.654
FAST, BRISK, 9, 149, 1.75245, 196.318
FAST, SIFT, 1, 103, 2.00276, 18.6866
FAST, SIFT, 2, 102, 1.72726, 11.7657
FAST, SIFT, 3, 107, 2.05452, 13.4604
FAST, SIFT, 4, 112, 2.05055, 11.7428
FAST, SIFT, 5, 95, 1.84867, 11.6801
FAST, SIFT, 6, 88, 2.36388, 15.4032
FAST, SIFT, 7, 103, 1.65219, 13.406
FAST, SIFT, 8, 106, 1.77805, 11.8892
FAST, SIFT, 9, 95, 1.70622, 12.8357
FAST, BRIEF, 1, 99, 1.85167, 1.12549
FAST, BRIEF, 2, 95, 1.75965, 0.98733
FAST, BRIEF, 3, 105, 1.31509, 1.09702
FAST, BRIEF, 4, 92, 1.80358, 1.0424
FAST, BRIEF, 5, 110, 1.8055, 1.08045
FAST, BRIEF, 6, 87, 1.84287, 1.18272
FAST, BRIEF, 7, 94, 1.79349, 1.14253
FAST, BRIEF, 8, 91, 1.85885, 1.01866
FAST, BRIEF, 9, 89, 2.09229, 1.5633
FAST, FREAK, 1, 168, 1.84929, 34.2885
FAST, FREAK, 2, 180, 1.79315, 33.5399
FAST, FREAK, 3, 171, 2.02706, 29.08
FAST, FREAK, 4, 168, 1.69533, 28.56
FAST, FREAK, 5, 155, 1.69177, 28.9472
FAST, FREAK, 6, 149, 1.71724, 28.8537
FAST, FREAK, 7, 167, 1.97165, 29.3436
FAST, FREAK, 8, 153, 1.74184, 29.947
FAST, FREAK, 9, 149, 1.73624, 29.3187
FAST, ORB, 1, 112, 1.74861, 1.06279
FAST, ORB, 2, 119, 1.95902, 1.19487
FAST, ORB, 3, 106, 2.0019, 1.51551
FAST, ORB, 4, 102, 1.98868, 1.50537
FAST, ORB, 5, 103, 1.99974, 1.52413
FAST, ORB, 6, 99, 2.03168, 1.48847
FAST, ORB, 7, 95, 1.7599, 1.06444
FAST, ORB, 8, 104, 1.77618, 1.08228
FAST, ORB, 9, 85, 1.7777, 1.0702
BRISK, BRISK, 1, 93, 222.439, 194.35
BRISK, BRISK, 2, 106, 222.654, 193.267
BRISK, BRISK, 3, 125, 238.972, 192.921
BRISK, BRISK, 4, 101, 221.025, 202.344
BRISK, BRISK, 5, 123, 229.977, 192.754
BRISK, BRISK, 6, 91, 221.527, 193.338
BRISK, BRISK, 7, 116, 221.201, 192.431
BRISK, BRISK, 8, 101, 222.529, 192.92
BRISK, BRISK, 9, 82, 260.805, 203.074
BRISK, SIFT, 1, 82, 221.823, 15.3999
BRISK, SIFT, 2, 89, 221.973, 14.4725
BRISK, SIFT, 3, 113, 221.48, 15.0995
BRISK, SIFT, 4, 94, 224.907, 15.6142
BRISK, SIFT, 5, 126, 230.31, 18.5702
BRISK, SIFT, 6, 84, 225.652, 14.7974
BRISK, SIFT, 7, 95, 220.662, 15.0775
BRISK, SIFT, 8, 96, 248.873, 22.3124
BRISK, SIFT, 9, 83, 238.99, 17.0031
BRISK, BRIEF, 1, 86, 232.163, 1.18651
BRISK, BRIEF, 2, 77, 237.645, 0.85803
BRISK, BRIEF, 3, 97, 223.291, 0.71072
BRISK, BRIEF, 4, 98, 243.638, 0.771214
BRISK, BRIEF, 5, 114, 223.096, 0.666711
BRISK, BRIEF, 6, 82, 221.113, 0.744086
BRISK, BRIEF, 7, 82, 217.826, 0.622282
BRISK, BRIEF, 8, 83, 220.499, 0.686044
BRISK, BRIEF, 9, 83, 220.238, 0.617383
BRISK, FREAK, 1, 82, 222.885, 29.0151
BRISK, FREAK, 2, 83, 222.678, 29.1806
BRISK, FREAK, 3, 108, 220.65, 28.3862
BRISK, FREAK, 4, 91, 228.286, 27.3751
BRISK, FREAK, 5, 113, 223.237, 27.4703
BRISK, FREAK, 6, 73, 237.453, 31.0302
BRISK, FREAK, 7, 100, 225.011, 27.3871
BRISK, FREAK, 8, 77, 221.613, 27.5173
BRISK, FREAK, 9, 75, 226.215, 28.273
BRISK, ORB, 1, 102, 229.545, 3.41834
BRISK, ORB, 2, 107, 220.888, 3.42594
BRISK, ORB, 3, 124, 223.334, 3.49941
BRISK, ORB, 4, 110, 221.356, 3.46538
BRISK, ORB, 5, 137, 221.805, 3.55673
BRISK, ORB, 6, 97, 222.271, 3.95599
BRISK, ORB, 7, 122, 224.156, 3.42836
BRISK, ORB, 8, 101, 219.686, 3.36515
BRISK, ORB, 9, 94, 219.959, 3.43128
ORB, BRISK, 1, 10, 5.15317, 189.924
ORB, BRISK, 2, 19, 5.14984, 193.584
ORB, BRISK, 3, 16, 5.31621, 201.426
ORB, BRISK, 4, 18, 5.11617, 197.672
ORB, BRISK, 5, 22, 5.45747, 198.42
ORB, BRISK, 6, 24, 5.74597, 198.93
ORB, BRISK, 7, 30, 6.30809, 198.851
ORB, BRISK, 8, 32, 5.25024, 192.584
ORB, BRISK, 9, 28, 4.89126, 194.476
ORB, SIFT, 1, 16, 5.20833, 17.4158
ORB, SIFT, 2, 12, 5.53946, 17.081
ORB, SIFT, 3, 18, 5.39068, 17.6154
ORB, SIFT, 4, 25, 6.30895, 17.9507
ORB, SIFT, 5, 18, 5.42434, 17.1739
ORB, SIFT, 6, 20, 5.42886, 17.8557
ORB, SIFT, 7, 23, 5.33718, 19.5697
ORB, SIFT, 8, 24, 5.54579, 20.2325
ORB, SIFT, 9, 21, 5.50996, 19.355
ORB, BRIEF, 1, 43, 5.33735, 0.335335
ORB, BRIEF, 2, 59, 5.28811, 0.329552
ORB, BRIEF, 3, 61, 5.56358, 0.381074
ORB, BRIEF, 4, 54, 5.94665, 0.394845
ORB, BRIEF, 5, 56, 5.36576, 0.375819
ORB, BRIEF, 6, 47, 5.79074, 0.406348
ORB, BRIEF, 7, 62, 5.38987, 0.384044
ORB, BRIEF, 8, 45, 5.549, 0.398043
ORB, BRIEF, 9, 61, 5.50061, 0.476809
